prompt_type,temperature,word,frequency
negative,0.1,I,56
negative,0.1,maybe,7
negative,0.1,it,6
negative,0.1,work,6
negative,0.1,help,5
negative,0.1,think,4
negative,0.1,world,4
negative,0.1,try,4
negative,0.1,london,3
negative,0.1,feel,3
negative,0.1,people,3
negative,0.1,find,3
negative,0.1,ready,2
negative,0.1,year,2
negative,0.1,datum,2
negative,0.1,offer,2
negative,0.1,company,2
negative,0.1,right,2
negative,0.1,difference,2
negative,0.1,decision,2
negative,0.1,grow,2
negative,0.1,place,2
negative,0.1,connect,2
negative,0.1,they,2
negative,0.1,stand,2
negative,0.1,day,2
negative,0.1,challenge,2
negative,0.1,face,2
negative,0.1,good,2
negative,0.1,belong,2
negative,0.1,way,2
negative,0.1,man,1
negative,0.1,beast,1
negative,0.1,mean,1
negative,0.1,spend,1
negative,0.1,study,1
negative,0.1,degree,1
negative,0.1,specialize,1
negative,0.1,science,1
negative,0.1,excited,1
negative,0.1,big,1
negative,0.1,heart,1
negative,0.1,imagine,1
negative,0.1,real,1
negative,0.1,you,1
negative,0.1,know,1
negative,0.1,innovate,1
negative,0.1,lose,1
negative,0.1,walk,1
negative,0.1,busy,1
negative,0.1,street,1
negative,0.1,surround,1
negative,0.1,thousand,1
negative,0.1,story,1
negative,0.1,float,1
negative,0.1,edge,1
negative,0.1,look,1
negative,0.1,hurry,1
negative,0.1,meet,1
negative,0.1,friend,1
negative,0.1,laugh,1
negative,0.1,talk,1
negative,0.1,wonder,1
negative,0.1,wrong,1
negative,0.1,outsider,1
negative,0.1,middle,1
negative,0.1,prepare,1
negative,0.1,fast,1
negative,0.1,pace,1
negative,0.1,environment,1
negative,0.1,constant,1
negative,0.1,pressure,1
negative,0.1,perform,1
negative,0.1,deliver,1
negative,0.1,drown,1
negative,0.1,expectation,1
negative,0.1,doubt,1
negative,0.1,mistake,1
negative,0.1,accept,1
negative,0.1,cut,1
negative,0.1,lie,1
negative,0.1,bed,1
negative,0.1,night,1
negative,0.1,event,1
negative,0.1,second,1
negative,0.1,guess,1
negative,0.1,remember,1
negative,0.1,hard,1
negative,0.1,skill,1
negative,0.1,potential,1
negative,0.1,city,1
negative,0.1,prove,1
negative,0.1,need,1
negative,0.1,push,1
negative,0.1,believe,1
negative,0.1,alternative,1
negative,0.1,strong,1
negative,0.1,smart,1
negative,0.1,present,1
negative,0.1,opportunity,1
negative,0.1,head,1
negative,0.1,learn,1
negative,0.1,version,1
negative,0.1,end,1
negative,0.1,data,1
negative,0.1,scientist,1
negative,0.1,old,1
negative,0.1,boy,1
negative,0.1,his,1
negative,0.1,let,1
positive,0.1,I,38
positive,0.1,it,14
positive,0.1,we,6
positive,0.1,you,6
positive,0.1,new,6
positive,0.1,work,5
positive,0.1,city,5
positive,0.1,know,4
positive,0.1,bloody,4
positive,0.1,good,4
positive,0.1,maybe,4
positive,0.1,find,4
positive,0.1,alright,3
positive,0.1,let,3
positive,0.1,mean,3
positive,0.1,use,3
positive,0.1,heart,2
positive,0.1,talk,2
positive,0.1,datum,2
positive,0.1,different,2
positive,0.1,people,2
positive,0.1,mate,2
positive,0.1,kind,2
positive,0.1,place,2
positive,0.1,london,2
positive,0.1,miss,2
positive,0.1,quiet,2
positive,0.1,think,2
positive,0.1,believe,2
positive,0.1,self,1
positive,0.1,little,1
positive,0.1,chat,1
positive,0.1,analysis,1
positive,0.1,code,1
positive,0.1,big,1
positive,0.1,data,1
positive,0.1,scientist,1
positive,0.1,massive,1
positive,0.1,company,1
positive,0.1,brain,1
positive,0.1,solve,1
positive,0.1,complex,1
positive,0.1,problem,1
positive,0.1,difference,1
positive,0.1,world,1
positive,0.1,tiny,1
positive,0.1,they,1
positive,0.1,pint,1
positive,0.1,help,1
positive,0.1,flat,1
positive,0.1,weekend,1
positive,0.1,blimey,1
positive,0.1,sunshine,1
positive,0.1,rose,1
positive,0.1,month,1
positive,0.1,try,1
positive,0.1,figure,1
positive,0.1,monster,1
positive,0.1,bit,1
positive,0.1,overwhelming,1
positive,0.1,time,1
positive,0.1,countryside,1
positive,0.1,fresh,1
positive,0.1,air,1
positive,0.1,old,1
positive,0.1,leave,1
positive,0.1,tough,1
positive,0.1,date,1
positive,0.1,scene,1
positive,0.1,hell,1
positive,0.1,nightmare,1
positive,0.1,exactly,1
positive,0.1,casanova,1
positive,0.1,home,1
positive,0.1,story,1
positive,0.1,busy,1
positive,0.1,guess,1
positive,0.1,guy,1
positive,0.1,stay,1
positive,0.1,positive,1
positive,0.1,push,1
positive,0.1,forward,1
positive,0.1,explore,1
positive,0.1,hide,1
positive,0.1,gem,1
positive,0.1,corner,1
positive,0.1,breathe,1
positive,0.1,friend,1
positive,0.1,hobby,1
positive,0.1,discover,1
positive,0.1,passion,1
positive,0.1,special,1
positive,0.1,understand,1
positive,0.1,laugh,1
positive,0.1,feel,1
positive,0.1,alive,1
positive,0.1,tall,1
positive,0.1,order,1
positive,0.1,possible,1
positive,0.1,happiness,1
positive,0.1,crazy,1
positive,0.1,chaotic,1
positive,0.1,beautiful,1
positive,0.1,future,1
positive,0.1,adventure,1
positive,0.1,challenge,1
positive,0.1,experience,1
positive,0.1,growth,1
positive,0.1,learn,1
positive,0.1,version,1
positive,0.1,possibility,1
positive,0.1,lie,1
positive,0.1,ahead,1
positive,0.1,shall,1
positive,0.1,mountain,1
positive,0.1,wait,1
positive,0.1,feeling,1
positive,0.1,secret,1
positive,0.1,uncover,1
negative,0.7,I,38
negative,0.7,it,8
negative,0.7,like,7
negative,0.7,they,4
negative,0.7,know,4
negative,0.7,you,4
negative,0.7,people,3
negative,0.7,find,3
negative,0.7,talk,3
negative,0.7,miss,3
negative,0.7,london,2
negative,0.7,man,2
negative,0.7,start,2
negative,0.7,feel,2
negative,0.7,mean,2
negative,0.7,data,2
negative,0.7,scientist,2
negative,0.7,sense,2
negative,0.7,city,2
negative,0.7,time,2
negative,0.7,focused,2
negative,0.7,thing,2
negative,0.7,big,2
negative,0.7,work,2
negative,0.7,think,2
negative,0.7,simple,2
negative,0.7,career,2
negative,0.7,lose,2
negative,0.7,need,2
negative,0.7,bloody,1
negative,0.7,madhouse,1
negative,0.7,concrete,1
negative,0.7,jungle,1
negative,0.7,day,1
negative,0.7,surround,1
negative,0.7,million,1
negative,0.7,right,1
negative,0.7,suppose,1
negative,0.7,number,1
negative,0.7,pattern,1
negative,0.7,puzzle,1
negative,0.7,solve,1
negative,0.7,traffic,1
negative,0.7,noise,1
negative,0.7,constant,1
negative,0.7,rush,1
negative,0.7,appointment,1
negative,0.7,promotion,1
negative,0.7,love,1
negative,0.7,idea,1
negative,0.7,live,1
negative,0.7,anonymity,1
negative,0.7,freedom,1
negative,0.7,blend,1
negative,0.7,observe,1
negative,0.7,wonder,1
negative,0.7,mistake,1
negative,0.7,good,1
negative,0.7,degree,1
negative,0.7,experience,1
negative,0.7,skill,1
negative,0.7,help,1
negative,0.7,fraud,1
negative,0.7,realize,1
negative,0.7,fake,1
negative,0.7,way,1
negative,0.7,datum,1
negative,0.7,science,1
negative,0.7,bit,1
negative,0.7,perfectionist,1
negative,0.7,fact,1
negative,0.7,exactly,1
negative,0.7,variable,1
negative,0.7,lack,1
negative,0.7,real,1
negative,0.7,connection,1
negative,0.7,friend,1
negative,0.7,easily,1
negative,0.7,young,1
negative,0.7,professional,1
negative,0.7,networking,1
negative,0.7,event,1
negative,0.7,busy,1
negative,0.7,life,1
negative,0.7,manage,1
negative,0.7,strike,1
negative,0.7,conversation,1
negative,0.7,motion,1
negative,0.7,small,1
negative,0.7,weather,1
negative,0.7,superficial,1
negative,0.7,home,1
negative,0.7,countryside,1
negative,0.7,fresh,1
negative,0.7,air,1
negative,0.7,quiet,1
negative,0.7,village,1
negative,0.7,community,1
negative,0.7,pleasure,1
negative,0.7,sit,1
negative,0.7,garden,1
negative,0.7,watch,1
negative,0.7,sunset,1
negative,0.7,walk,1
negative,0.7,wood,1
negative,0.7,green,1
negative,0.7,grass,1
negative,0.7,park,1
negative,0.7,usually,1
negative,0.7,cover,1
negative,0.7,litter,1
negative,0.7,pack,1
negative,0.7,leave,1
negative,0.7,responsibility,1
negative,0.7,flat,1
negative,0.7,bill,1
negative,0.7,pay,1
negative,0.7,grown,1
negative,0.7,little,1
negative,0.7,boy,1
negative,0.7,able,1
negative,0.7,handle,1
negative,0.7,adapt,1
negative,0.7,thrive,1
negative,0.7,place,1
negative,0.7,figure,1
negative,0.7,process,1
negative,0.7,wish,1
positive,0.7,I,39
positive,0.7,it,10
positive,0.7,time,5
positive,0.7,life,5
positive,0.7,work,4
positive,0.7,chapter,4
positive,0.7,london,3
positive,0.7,feel,3
positive,0.7,start,3
positive,0.7,think,3
positive,0.7,new,3
positive,0.7,want,3
positive,0.7,know,3
positive,0.7,day,2
positive,0.7,bit,2
positive,0.7,learn,2
positive,0.7,datum,2
positive,0.7,story,2
positive,0.7,impact,2
positive,0.7,people,2
positive,0.7,data,2
positive,0.7,scientist,2
positive,0.7,real,2
positive,0.7,difference,2
positive,0.7,city,2
positive,0.7,try,2
positive,0.7,balance,2
positive,0.7,personal,2
positive,0.7,growth,2
positive,0.7,future,2
positive,0.7,way,2
positive,0.7,grow,2
positive,0.7,care,2
positive,0.7,career,2
positive,0.7,continue,2
positive,0.7,friend,2
positive,0.7,they,2
positive,0.7,long,1
positive,0.7,office,1
positive,0.7,commute,1
positive,0.7,nightmare,1
positive,0.7,tube,1
positive,0.7,read,1
positive,0.7,late,1
positive,0.7,machine,1
positive,0.7,research,1
positive,0.7,fascinate,1
positive,0.7,tell,1
positive,0.7,use,1
positive,0.7,skill,1
positive,0.7,world,1
positive,0.7,speak,1
positive,0.7,mean,1
positive,0.7,explore,1
positive,0.7,offer,1
positive,0.7,history,1
positive,0.7,culture,1
positive,0.7,overwhelming,1
positive,0.7,find,1
positive,0.7,socializing,1
positive,0.7,meet,1
positive,0.7,interesting,1
positive,0.7,walk,1
positive,0.7,help,1
positive,0.7,inspire,1
positive,0.7,experience,1
positive,0.7,goal,1
positive,0.7,hard,1
positive,0.7,company,1
positive,0.7,professionally,1
positive,0.7,personally,1
positive,0.7,consider,1
positive,0.7,certification,1
positive,0.7,area,1
positive,0.7,science,1
positive,0.7,consulting,1
positive,0.7,business,1
positive,0.7,possibility,1
positive,0.7,endless,1
positive,0.7,idea,1
positive,0.7,boss,1
positive,0.7,terrifying,1
positive,0.7,exhilarating,1
positive,0.7,need,1
positive,0.7,remember,1
positive,0.7,focused,1
positive,0.7,social,1
positive,0.7,forget,1
positive,0.7,relax,1
positive,0.7,enjoy,1
positive,0.7,moment,1
positive,0.7,practice,1
positive,0.7,mindfulness,1
positive,0.7,meditation,1
positive,0.7,regular,1
positive,0.7,exercise,1
positive,0.7,routine,1
positive,0.7,physical,1
positive,0.7,mental,1
positive,0.7,health,1
positive,0.7,crucial,1
positive,0.7,succeed,1
positive,0.7,relationship,1
positive,0.7,lucky,1
positive,0.7,great,1
positive,0.7,fully,1
positive,0.7,project,1
positive,0.7,partner,1
positive,0.7,person,1
positive,0.7,fill,1
positive,0.7,exploration,1
positive,0.7,self,1
positive,0.7,discovery,1
positive,0.7,chase,1
positive,0.7,dream,1
positive,0.7,appreciate,1
positive,0.7,journey,1
positive,0.7,end,1
positive,0.7,sleep,1
positive,0.7,tomorrow,1
positive,0.7,rest,1
positive,0.7,weary,1
positive,0.7,love,1
positive,0.7,grateful,1
positive,0.7,opportunity,1
positive,0.7,live,1
positive,0.7,amazing,1
positive,0.7,adventure,1
positive,0.7,hold,1
positive,0.7,bring,1
negative,1.3,I,30
negative,1.3,work,4
negative,1.3,it,4
negative,1.3,they,4
negative,1.3,know,3
negative,1.3,maybe,3
negative,1.3,scared,3
negative,1.3,big,2
negative,1.3,day,2
negative,1.3,feel,2
negative,1.3,city,2
negative,1.3,try,2
negative,1.3,face,2
negative,1.3,find,2
negative,1.3,home,2
negative,1.3,life,2
negative,1.3,hopeful,2
negative,1.3,god,1
negative,1.3,mean,1
negative,1.3,think,1
negative,1.3,london,1
negative,1.3,data,1
negative,1.3,scientist,1
negative,1.3,company,1
negative,1.3,you,1
negative,1.3,exciting,1
negative,1.3,empower,1
negative,1.3,walk,1
negative,1.3,crowded,1
negative,1.3,street,1
negative,1.3,tower,1
negative,1.3,building,1
negative,1.3,help,1
negative,1.3,small,1
negative,1.3,insignificant,1
negative,1.3,cog,1
negative,1.3,machine,1
negative,1.3,indistinguishable,1
negative,1.3,rest,1
negative,1.3,people,1
negative,1.3,rush,1
negative,1.3,hurry,1
negative,1.3,connect,1
negative,1.3,wear,1
negative,1.3,mask,1
negative,1.3,false,1
negative,1.3,smile,1
negative,1.3,plaster,1
negative,1.3,breeze,1
negative,1.3,good,1
negative,1.3,qualification,1
negative,1.3,experience,1
negative,1.3,stare,1
negative,1.3,line,1
negative,1.3,code,1
negative,1.3,brain,1
negative,1.3,numb,1
negative,1.3,finger,1
negative,1.3,hover,1
negative,1.3,keyboard,1
negative,1.3,doubt,1
negative,1.3,creep,1
negative,1.3,whisper,1
negative,1.3,cut,1
negative,1.3,fast,1
negative,1.3,accept,1
negative,1.3,mistake,1
negative,1.3,alternative,1
negative,1.3,dead,1
negative,1.3,end,1
negative,1.3,stagnation,1
negative,1.3,need,1
negative,1.3,figure,1
negative,1.3,fit,1
negative,1.3,place,1
negative,1.3,sea,1
negative,1.3,datum,1
negative,1.3,point,1
negative,1.3,guess,1
negative,1.3,fail,1
negative,1.3,overwhelming,1
negative,1.3,overcome,1
negative,1.3,fear,1
negative,1.3,look,1
negative,1.3,realize,1
negative,1.3,lose,1
negative,1.3,anymore,1
positive,1.3,I,23
positive,1.3,it,10
positive,1.3,you,7
positive,1.3,we,5
positive,1.3,london,4
positive,1.3,work,4
positive,1.3,leave,4
positive,1.3,know,4
positive,1.3,life,4
positive,1.3,little,3
positive,1.3,data,3
positive,1.3,big,3
positive,1.3,company,3
positive,1.3,maybe,3
positive,1.3,truly,3
positive,1.3,datum,3
positive,1.3,they,3
positive,1.3,time,3
positive,1.3,question,3
positive,1.3,mind,3
positive,1.3,lie,3
positive,1.3,con,3
positive,1.3,self,2
positive,1.3,let,2
positive,1.3,god,2
positive,1.3,wonder,2
positive,1.3,end,2
positive,1.3,dream,2
positive,1.3,old,2
positive,1.3,exciting,2
positive,1.3,space,2
positive,1.3,share,2
positive,1.3,vision,2
positive,1.3,cosmos,2
positive,1.3,suppose,2
positive,1.3,feel,2
positive,1.3,touch,2
positive,1.3,day,2
positive,1.3,number,2
positive,1.3,lad,2
positive,1.3,bloom,2
positive,1.3,course,2
positive,1.3,think,2
positive,1.3,finger,2
positive,1.3,expect,2
positive,1.3,play,2
positive,1.3,spirit,2
positive,1.3,star,2
positive,1.3,night,2
