prompt_type,temperature,word,frequency
positive,1.3,single,2
positive,1.3,soon,2
positive,1.3,long,2
positive,1.3,bright,2
positive,1.3,sharp,2
positive,1.3,orb,2
positive,1.3,capture,2
positive,1.3,dot,2
positive,1.3,bre,2
positive,1.3,roll,2
positive,1.3,essentially,2
positive,1.3,strip,2
positive,1.3,pro,2
positive,1.3,row,2
positive,1.3,dev,2
positive,1.3,toy,2
positive,1.3,i,2
positive,1.3,tun,2
positive,1.3,chat,1
positive,1.3,shall,1
positive,1.3,mean,1
positive,1.3,talk,1
positive,1.3,wall,1
positive,1.3,endless,1
positive,1.3,sea,1
positive,1.3,zero,1
positive,1.3,scroll,1
positive,1.3,screen,1
positive,1.3,scientist,1
positive,1.3,remember,1
positive,1.3,kid,1
positive,1.3,astronaut,1
positive,1.3,actor,1
positive,1.3,alan,1
positive,1.3,turing,1
positive,1.3,year,1
positive,1.3,dataset,1
positive,1.3,understand,1
positive,1.3,travel,1
positive,1.3,oscar,1
positive,1.3,nomination,1
positive,1.3,sight,1
positive,1.3,bad,1
positive,1.3,place,1
positive,1.3,stick,1
positive,1.3,fair,1
positive,1.3,charm,1
positive,1.3,look,1
positive,1.3,tourist,1
positive,1.3,trap,1
positive,1.3,deny,1
positive,1.3,primarily,1
positive,1.3,bid,1
positive,1.3,redefine,1
positive,1.3,digital,1
positive,1.3,marketing,1
positive,1.3,believe,1
positive,1.3,brink,1
positive,1.3,extraordinary,1
positive,1.3,stunning,1
positive,1.3,shape,1
positive,1.3,future,1
positive,1.3,unique,1
positive,1.3,way,1
positive,1.3,frontier,1
positive,1.3,explore,1
positive,1.3,information,1
positive,1.3,diamond,1
positive,1.3,rough,1
positive,1.3,submarine,1
positive,1.3,lake,1
positive,1.3,discover,1
positive,1.3,insight,1
positive,1.3,regular,1
positive,1.3,arr,1
positive,1.3,chasing,1
positive,1.3,suit,1
positive,1.3,valuable,1
positive,1.3,unfulfilling,1
positive,1.3,help,1
positive,1.3,climb,1
positive,1.3,ladder,1
positive,1.3,late,1
positive,1.3,realize,1
positive,1.3,livelier,1
positive,1.3,curious,1
positive,1.3,deep,1
positive,1.3,procedural,1
positive,1.3,abyss,1
positive,1.3,plenty,1
positive,1.3,ponder,1
positive,1.3,universe,1
positive,1.3,shatter,1
positive,1.3,legal,1
positive,1.3,overstep,1
positive,1.3,bound,1
positive,1.3,decency,1
positive,1.3,bring,1
positive,1.3,dozen,1
positive,1.3,ndas,1
positive,1.3,door,1
positive,1.3,digress,1
positive,1.3,nasa,1
positive,1.3,pretty,1
positive,1.3,amazing,1
positive,1.3,buzz,1
positive,1.3,energy,1
positive,1.3,artery,1
positive,1.3,historic,1
positive,1.3,monster,1
positive,1.3,city,1
positive,1.3,intoxicating,1
positive,1.3,wash,1
positive,1.3,street,1
positive,1.3,art,1
positive,1.3,example,1
positive,1.3,ripple,1
positive,1.3,magic,1
positive,1.3,run,1
positive,1.3,corner,1
positive,1.3,splash,1
positive,1.3,color,1
positive,1.3,reimagine,1
positive,1.3,concrete,1
positive,1.3,boredom,1
positive,1.3,represent,1
positive,1.3,middle,1
positive,1.3,nemeth,1
positive,1.3,square,1
positive,1.3,overpower,1
positive,1.3,ham,1
positive,1.3,fiste,1
positive,1.3,reconstruction,1
positive,1.3,attempt,1
positive,1.3,mining,1
positive,1.3,entrepreneurial,1
positive,1.3,try,1
positive,1.3,bloody,1
positive,1.3,solo,1
positive,1.3,exploration,1
positive,1.3,card,1
positive,1.3,tonight,1
positive,1.3,pivot,1
positive,1.3,intend,1
positive,1.3,execution,1
positive,1.3,great,1
positive,1.3,joy,1
positive,1.3,come,1
positive,1.3,knock,1
positive,1.3,unanimous,1
positive,1.3,descent,1
positive,1.3,chaos,1
positive,1.3,spill,1
positive,1.3,couch,1
positive,1.3,living,1
positive,1.3,room,1
positive,1.3,floor,1
positive,1.3,typical,1
positive,1.3,alignment,1
positive,1.3,raise,1
positive,1.3,dungeon,1
positive,1.3,dragon,1
positive,1.3,ideation,1
positive,1.3,actually,1
positive,1.3,right,1
positive,1.3,laugh,1
positive,1.3,scrape,1
positive,1.3,fascinating,1
positive,1.3,sorpresa,1
positive,1.3,mad,1
positive,1.3,crazy,1
positive,1.3,glance,1
positive,1.3,point,1
positive,1.3,wrap,1
positive,1.3,philosophical,1
positive,1.3,brain,1
positive,1.3,squat,1
positive,1.3,story,1
positive,1.3,fact,1
positive,1.3,career,1
positive,1.3,agreeably,1
positive,1.3,engage,1
positive,1.3,intricacy,1
positive,1.3,different,1
positive,1.3,friendship,1
positive,1.3,nightlife,1
positive,1.3,discovery,1
positive,1.3,satiate,1
positive,1.3,unfathomable,1
positive,1.3,grandiosity,1
positive,1.3,grand,1
positive,1.3,calling,1
positive,1.3,untouched,1
positive,1.3,waste,1
positive,1.3,gather,1
positive,1.3,bosom,1
positive,1.3,horizon,1
positive,1.3,vast,1
positive,1.3,unexplored,1
positive,1.3,heavily,1
positive,1.3,darken,1
positive,1.3,plain,1
positive,1.3,north,1
positive,1.3,ramble,1
positive,1.3,swirl,1
positive,1.3,jocular,1
positive,1.3,sprawl,1
positive,1.3,distinct,1
positive,1.3,treasure,1
positive,1.3,emerge,1
positive,1.3,thrill,1
positive,1.3,form,1
positive,1.3,unseeable,1
positive,1.3,streak,1
positive,1.3,nascent,1
positive,1.3,plot,1
positive,1.3,upwards,1
positive,1.3,tomorrow,1
positive,1.3,thetery,1
positive,1.3,forever,1
positive,1.3,unending,1
positive,1.3,ascension,1
positive,1.3,lay,1
positive,1.3,eye,1
positive,1.3,reach,1
positive,1.3,overlord,1
positive,1.3,slip,1
positive,1.3,truth,1
positive,1.3,sleep,1
positive,1.3,orbit,1
positive,1.3,distant,1
positive,1.3,profess,1
positive,1.3,sing,1
positive,1.3,dance,1
positive,1.3,absalon,1
positive,1.3,practis,1
positive,1.3,serenity,1
positive,1.3,present,1
positive,1.3,wait,1
positive,1.3,style,1
positive,1.3,relax,1
positive,1.3,perchance,1
positive,1.3,progress,1
positive,1.3,passion,1
positive,1.3,gracious,1
positive,1.3,trajectory,1
positive,1.3,courage,1
positive,1.3,ahead,1
positive,1.3,meekly,1
positive,1.3,quiver,1
positive,1.3,people,1
positive,1.3,comsequence,1
positive,1.3,pry,1
positive,1.3,pattern,1
positive,1.3,monolog,1
positive,1.3,planet,1
positive,1.3,ground,1
positive,1.3,muse,1
positive,1.3,captive,1
positive,1.3,tenda,1
positive,1.3,frü,1
positive,1.3,cul,1
positive,1.3,impulse,1
positive,1.3,occup,1
positive,1.3,departure,1
positive,1.3,afflict,1
positive,1.3,enhance,1
positive,1.3,struggle,1
positive,1.3,page,1
positive,1.3,determinantedy,1
positive,1.3,scumm,1
positive,1.3,surelysparely,1
positive,1.3,snatch,1
positive,1.3,advantageibly,1
positive,1.3,jones,1
positive,1.3,order,1
positive,1.3,disrupt,1
positive,1.3,original,1
positive,1.3,merchant,1
positive,1.3,specifically,1
positive,1.3,offer,1
positive,1.3,renowned,1
positive,1.3,pain,1
positive,1.3,mindvatile,1
positive,1.3,kasem,1
positive,1.3,exactly,1
positive,1.3,bambu,1
positive,1.3,relocate,1
positive,1.3,intensify,1
positive,1.3,tree,1
positive,1.3,inclusion,1
positive,1.3,ultrastantial,1
positive,1.3,literally,1
positive,1.3,lead,1
positive,1.3,explicitly,1
positive,1.3,nuclear,1
positive,1.3,prognosis,1
positive,1.3,lobby,1
positive,1.3,suspend,1
positive,1.3,steel,1
positive,1.3,meal,1
positive,1.3,maid,1
positive,1.3,barn,1
positive,1.3,hill,1
positive,1.3,gab,1
positive,1.3,uran,1
positive,1.3,period,1
positive,1.3,prece,1
positive,1.3,embrace,1
positive,1.3,cable,1
positive,1.3,ore,1
positive,1.3,omber,1
positive,1.3,stare,1
positive,1.3,argv,1
positive,1.3,lum,1
positive,1.3,forgone,1
positive,1.3,fait,1
positive,1.3,custom,1
positive,1.3,sans,1
positive,1.3,deadstruck,1
positive,1.3,duty,1
positive,1.3,vet,1
positive,1.3,vip,1
positive,1.3,june,1
positive,1.3,bugs,1
positive,1.3,opend,1
positive,1.3,cent,1
positive,1.3,crime,1
positive,1.3,express,1
positive,1.3,mor,1
positive,1.3,write,1
positive,1.3,bluish,1
positive,1.3,vote,1
positive,1.3,ste,1
positive,1.3,detail,1
positive,1.3,arch,1
positive,1.3,yorkl,1
positive,1.3,chartist,1
positive,1.3,sram,1
positive,1.3,scan,1
positive,1.3,july,1
positive,1.3,stack,1
positive,1.3,brace,1
positive,1.3,apply,1
positive,1.3,tangible,1
positive,1.3,close,1
positive,1.3,eager,1
positive,1.3,change,1
positive,1.3,rob,1
positive,1.3,land,1
positive,1.3,aesthetic,1
positive,1.3,daniel,1
positive,1.3,analytical,1
positive,1.3,vibr,1
positive,1.3,corbusier,1
positive,1.3,ecc,1
positive,1.3,leap,1
positive,1.3,theatre,1
positive,1.3,dummy,1
positive,1.3,steam,1
positive,1.3,appear,1
positive,1.3,rain,1
positive,1.3,kin,1
positive,1.3,teacifiwh,1
positive,1.3,gal,1
positive,1.3,dis,1
positive,1.3,fairy,1
positive,1.3,lust,1
positive,1.3,lop,1
positive,1.3,seal,1
positive,1.3,junk,1
positive,1.3,read,1
positive,1.3,tem,1
positive,1.3,bear,1
positive,1.3,bug,1
positive,1.3,reg,1
positive,1.3,shores,1
positive,1.3,thing,1
positive,1.3,meth,1
positive,1.3,desire,1
positive,1.3,fluent,1
positive,1.3,sufficient,1
positive,1.3,clark,1
positive,1.3,anelen,1
positive,1.3,spectacular,1
positive,1.3,trib,1
positive,1.3,imp,1
positive,1.3,compen,1
positive,1.3,poss,1
positive,1.3,combine,1
positive,1.3,insteaditty,1
positive,1.3,whi,1
positive,1.3,stone,1
positive,1.3,instead,1
positive,1.3,deeply,1
positive,1.3,weightty,1
positive,1.3,light,1
positive,1.3,phase,1
positive,1.3,precision,1
positive,1.3,manu,1
positive,1.3,carlina,1
positive,1.3,pleat,1
positive,1.3,cap,1
positive,1.3,ipt,1
positive,1.3,quantum,1
positive,1.3,extra,1
positive,1.3,balat,1
positive,1.3,petbill,1
positive,1.3,peculiar,1
positive,1.3,prop,1
positive,1.3,jos,1
positive,1.3,domestic,1
positive,1.3,arom,1
positive,1.3,inner,1
positive,1.3,dop,1
positive,1.3,sum,1
positive,1.3,zviv,1
positive,1.3,fin,1
positive,1.3,grain,1
positive,1.3,peripher,1
positive,1.3,meet,1
positive,1.3,perso,1
positive,1.3,phan,1
positive,1.3,downstairs,1
positive,1.3,npr,1
positive,1.3,ori,1
positive,1.3,forld,1
positive,1.3,drive,1
positive,1.3,prech,1
positive,1.3,pack,1
positive,1.3,thin,1
positive,1.3,begin,1
positive,1.3,hover,1
positive,1.3,spread,1
positive,1.3,scheme,1
positive,1.3,sign,1
positive,1.3,thro,1
positive,1.3,similar,1
positive,1.3,kinda,1
positive,1.3,sell,1
positive,1.3,msfty,1
positive,1.3,complete,1
positive,1.3,datty,1
positive,1.3,returnee,1
positive,1.3,unt,1
positive,1.3,int,1
positive,1.3,non,1
positive,1.3,referatant,1
positive,1.3,foot,1
positive,1.3,articial,1
positive,1.3,lim,1
positive,1.3,ontin,1
positive,1.3,wrapper,1
positive,1.3,artic,1
positive,1.3,fall,1
positive,1.3,interpretation,1
positive,1.3,ban,1
positive,1.3,fluid,1
positive,1.3,pie,1
positive,1.3,popularity,1
positive,1.3,consultm,1
positive,1.3,cruf,1
positive,1.3,initial,1
positive,1.3,salt,1
positive,1.3,sac,1
positive,1.3,van,1
positive,1.3,butterfl,1
positive,1.3,peoblem,1
positive,1.3,gol,1
positive,1.3,fles,1
positive,1.3,peablo,1
positive,1.3,zam,1
positive,1.3,bef,1
positive,1.3,hundreds,1
positive,1.3,nonsha,1
positive,1.3,erg,1
positive,1.3,relation,1
positive,1.3,need,1
positive,1.3,neighbor,1
positive,1.3,popul,1
positive,1.3,pop,1
positive,1.3,super,1
positive,1.3,scr,1
positive,1.3,everythingpro,1
positive,1.3,sprs,1
positive,1.3,brig,1
positive,1.3,metal,1
positive,1.3,rec,1
positive,1.3,anti,1
positive,1.3,solvedць,1
positive,1.3,endorse,1
positive,1.3,theod,1
positive,1.3,webs,1
positive,1.3,metho,1
positive,1.3,lucky,1
positive,1.3,carbon,1
positive,1.3,break,1
positive,1.3,lar,1
positive,1.3,track,1
positive,1.3,span,1
positive,1.3,black,1
positive,1.3,lug,1
positive,1.3,transparent,1
positive,1.3,analysisg,1
positive,1.3,espsq,1
positive,1.3,blend,1
positive,1.3,brows,1
positive,1.3,tal,1
positive,1.3,hear,1
positive,1.3,klif,1
positive,1.3,morin,1
positive,1.3,phone,1
positive,1.3,comport,1
positive,1.3,ther,1
positive,1.3,сезо,1
positive,1.3,content,1
positive,1.3,cycl,1
positive,1.3,reflection,1
positive,1.3,church,1
positive,1.3,tum,1
positive,1.3,seréius,1
positive,1.3,successful,1
positive,1.3,probably,1
positive,1.3,hide,1
positive,1.3,sub,1
positive,1.3,jet,1
positive,1.3,gener,1
positive,1.3,restrict,1
positive,1.3,prevent,1
positive,1.3,admission,1
positive,1.3,cou,1
positive,1.3,oid,1
positive,1.3,tale,1
positive,1.3,careful,1
positive,1.3,elabor,1
positive,1.3,finally,1
positive,1.3,protect,1
positive,1.3,wyd,1
positive,1.3,disc,1
positive,1.3,csh,1
positive,1.3,series,1
positive,1.3,burn,1
positive,1.3,institution,1
positive,1.3,respond,1
positive,1.3,baker,1
positive,1.3,expans,1
positive,1.3,smart,1
positive,1.3,likemon,1
positive,1.3,flex,1
positive,1.3,hastily,1
positive,1.3,harte,1
positive,1.3,haven,1
positive,1.3,regup,1
positive,1.3,replace,1
positive,1.3,sym,1
positive,1.3,phil,1
positive,1.3,acrolocal,1
positive,1.3,skillion,1
positive,1.3,extensive,1
positive,1.3,intro,1
positive,1.3,maximum,1
positive,1.3,glrn,1
positive,1.3,vid,1
positive,1.3,answer,1
positive,1.3,esp,1
positive,1.3,rebecca,1
positive,1.3,bal,1
positive,1.3,espec,1
positive,1.3,migrant,1
positive,1.3,project,1
positive,1.3,crim,1
positive,1.3,orig,1
positive,1.3,force,1
positive,1.3,complex概,1
positive,1.3,naturally,1
positive,1.3,ab,1
positive,1.3,sab,1
positive,1.3,lumber,1
positive,1.3,congress,1
positive,1.3,joh,1
positive,1.3,ine,1
positive,1.3,generateí,1
positive,1.3,uniqu,1
positive,1.3,pole,1
positive,1.3,quel,1
positive,1.3,ben,1
positive,1.3,ek,1
positive,1.3,astr,1
positive,1.3,rad,1
positive,1.3,text,1
positive,1.3,sag,1
positive,1.3,todd,1
positive,1.3,stu,1
positive,1.3,cord,1
positive,1.3,inj,1
positive,1.3,blo,1
positive,1.3,limit,1
positive,1.3,liter,1
positive,1.3,rip,1
positive,1.3,pac,1
positive,1.3,invest,1
positive,1.3,counselided,1
positive,1.3,war,1
positive,1.3,grib,1
positive,1.3,generator,1
positive,1.3,neglect,1
positive,1.3,dit,1
positive,1.3,web,1
positive,1.3,cunto,1
positive,1.3,torch,1
positive,1.3,feed,1
positive,1.3,ange,1
positive,1.3,meat,1
positive,1.3,grat,1
positive,1.3,stock,1
positive,1.3,toda,1
positive,1.3,son,1
positive,1.3,buildavi,1
positive,1.3,tor,1
positive,1.3,soph,1
positive,1.3,goodly,1
positive,1.3,prof,1
positive,1.3,shop,1
